2019/1/24 星期四 15:33:52	正在初始化...已完成

2019/1/24 星期四 15:33:53	链接12306服务器速度:431毫秒[良]

2019/1/24 星期四 15:33:53	您的VIP已过期,已恢复为免费用户,续期请重新注册

2019/1/24 星期四 15:33:53	[多日期]多日期为循环查询，每次查询一个日期。日期越多，每个日期再次查询的间隔越久，如需设置，请尽量少的添加！

2019/1/24 星期四 15:33:54	获取到:1342个CDN,开始智能测速中...

2019/1/24 星期四 15:34:10	查询完毕,本次查询共用时:483毫秒

2019/1/24 星期四 15:34:13	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 15:34:54	链接12306服务器速度:212毫秒[优]

2019/1/24 星期四 15:35:54	链接12306服务器速度:251毫秒[优]

2019/1/24 星期四 15:53:11	开始预订G1018次列车车票...

2019/1/24 星期四 15:53:11	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 15:53:11	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 15:53:11	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 15:53:11	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/24 星期四 15:53:11	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 15:58:26	开始预订G1018次列车车票...

2019/1/24 星期四 15:58:26	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 15:58:26	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 15:58:27	[任务2]目前排队人数已经超过余票张数

2019/1/24 星期四 15:58:27	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/24 星期四 15:58:27	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 16:23:59	开始预订G1020次列车车票...

2019/1/24 星期四 16:23:59	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 16:23:59	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 16:23:59	[任务2]实时余票为(1)张,继续提交...

2019/1/24 星期四 16:23:59	[任务4]当前无需验证码,开始提交订单...

2019/1/24 星期四 16:23:59	[任务5]快速出票安全期,等待3373ms

2019/1/24 星期四 16:24:03	[提交成功]等待处理,本次用时:3.89秒

2019/1/24 星期四 16:24:04	[获取结果]12306:没有足够的票!

2019/1/24 星期四 16:24:04	[返回无票]该数据为缓存,将G1020车次放入小黑屋60秒...

2019/1/24 星期四 16:24:04	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 16:24:34	开始预订G1010次列车车票...

2019/1/24 星期四 16:24:34	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 16:24:34	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 16:24:34	[任务2]实时余票为(1)张,继续提交...

2019/1/24 星期四 16:24:34	[任务4]当前无需验证码,开始提交订单...

2019/1/24 星期四 16:24:34	[任务5]快速出票安全期,等待2650ms

2019/1/24 星期四 16:24:37	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/24 星期四 16:24:37	[返回无票]该数据为缓存,将G1010车次放入小黑屋60秒...

2019/1/24 星期四 16:24:37	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 16:27:11	开始预订G1010次列车车票...

2019/1/24 星期四 16:27:11	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 16:27:11	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 16:27:11	[任务2]实时余票为(1)张,继续提交...

2019/1/24 星期四 16:27:11	[任务4]当前无需验证码,开始提交订单...

2019/1/24 星期四 16:27:11	[任务5]快速出票安全期,等待2758ms

2019/1/24 星期四 16:27:14	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/24 星期四 16:27:14	[返回无票]该数据为缓存,将G1010车次放入小黑屋60秒...

2019/1/24 星期四 16:27:15	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 16:28:30	开始预订G1010次列车车票...

2019/1/24 星期四 16:28:30	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 16:28:30	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 16:28:30	[任务2]实时余票为(1)张,继续提交...

2019/1/24 星期四 16:28:30	[任务4]当前无需验证码,开始提交订单...

2019/1/24 星期四 16:28:30	[任务5]快速出票安全期,等待2911ms

2019/1/24 星期四 16:28:34	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/24 星期四 16:28:34	[返回无票]该数据为缓存,将G1010车次放入小黑屋60秒...

2019/1/24 星期四 16:28:34	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/24 星期四 16:30:36	开始预订G1020次列车车票...

2019/1/24 星期四 16:30:36	[极速]线程启动完成,开始解析算法...

2019/1/24 星期四 16:30:36	[任务1]算法解析完成,开始申请订单...

2019/1/24 星期四 16:30:36	[任务2]实时余票为(1)张,继续提交...

